Date;Censed by;Project;Place;Site_ID;State;Initial_Ho;Transect_T;Latitude;Longitude;Males;Females;NA;Juveniles;Veg_Male;Veg_Female;Veg_Juv;Veg_NA;Tarentola;Snake;Total Male;Total Fema;Total Juve;Total NA;Comments;Weather_Co;Population;Polygon ar;Corine Urb;Edificat %;Index Urb;Size_dot;Year_inv;Distance;Inv_state;Classifica
21/07/2022;Jordi;Urban;Sant_Llorenc;Church_Park;Snake;11:23;Point Count;39,03135764;1,477033667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;4138;0;0;0,4875;2;2014,14636;2909,883216;Invaded;Invaded_Urban
30/06/2022;Jordi;Urban;Sant_Llorenc;Church_Park;Snake;10:41;Point Count;39,03135764;1,477033667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;4138;0;0;0,4875;2;2014,14636;2909,883216;Invaded;Invaded_Urban
21/07/2022;Jordi;Urban;Sant_Llorenc;Park_2;Snake;11:37;Point Count;39,03066604;1,475913872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;4138;0;0;0,2375;2;2014,90417;2671,7074;Invaded;Invaded_Urban
30/06/2022;Jordi;Urban;Sant_Llorenc;Park_2;Snake;10:32;Point Count;39,03066604;1,475913872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;4138;0;0;0,2375;2;2014,90417;2671,7074;Invaded;Invaded_Urban
30/06/2022;Jordi;Urban;Sant_Llorenc;Wall;Snake;10:44;Point Count;39,03102547;1,476716011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;4138;0;0;0,5125;2;2014,90417;2671,7074;Invaded;Invaded_Urban
21/07/2022;Jordi;Urban;Sant_Llorenc;Wall;Snake;11:33;Point Count;39,03102547;1,476716011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;1762;4138;0;0;0,5125;2;2014,90417;2671,7074;Invaded;Invaded_Urban
21/06/2022;Jordi;PeriUrban;Santa_Eularia;Mur_Ext_1;Snake;9:38;;38,98973092;1,515017919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Condiciones meteorol�gicas desfavorables;Sunny_Clowdy;40038;6880045;0;0;0;2;2013,90796;3104,823397;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;PeriUrban;Santa_Eularia;Mur_Ext_1;Snake;11:36;Point Count;38,98973092;1,515017919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;40038;6880045;0;0;0;2;2013,90796;3104,823397;Invaded;Invaded_PeriUrban
30/06/2022;Jordi;PeriUrban;Santa_Eularia;Mur_Ext_4;Snake;12:34;Point Count;39,00562732;1,553414298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;40038;6880045;0;0;0;2;2017,83655;5656,614096;Invaded;Invaded_PeriUrban
22/07/2022;Jordi;PeriUrban;Santa_Eularia;Mur_Ext_4;Snake;11:33;Point Count;39,00562732;1,553414298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Sunny;40038;6880045;0;0;0;2;2017,83655;5656,614096;Invaded;Invaded_PeriUrban
20/06/2022;Jordi;Urban;Santa_Eularia;Park;Snake;11:50;;38,98423532;1,535245559;0;0;0;0;1;1;0;0;0;0;1;1;0;0;;Sunny;40038;202689;100.000.000.000.000.000;33.058.252.430.000.000;0,9166667;4;2013,06226;4929,630248;Invaded;Invaded_Urban
21/06/2022;Jordi;Urban;Santa_Eularia;Park;Snake;10:46;;38,98423532;1,535245559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Condiciones meteorol�gicas desfavorables;Sunny_Clowdy;40038;202689;100.000.000.000.000.000;33.058.252.430.000.000;0,9166667;2;2013,06226;4929,630248;Invaded;Invaded_Urban
