Date,Censed by,Project,Place,Type,Site_ID,State,Initial_Ho,Final_Hour,Transect_T,Latitude,Longitude,Males,Females,NA,Juveniles,Veg_Male,Veg_Female,Veg_Juv,Veg_NA,Tarentola,Snake,Total Male,Total Fema,Total Juve,Total NA,Comments,Weather_Co,Temperatur,Relativ_Hu,Wind_Speed,Population,Polygon ar,Polygon _1,Corine Urb,Edificat %,Index Urb,Size_dot,3P 250 200,Distance,Inv_state,Classifica
21/07/2022,Jordi,Urban,Sant_Llorenc,,Church_Park,Snake,11:23,,Point Count,39.031357640000003,1.477033667000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,Sunny,,,,"1762","4138","4138","0.000000000000000","0.000000000000000",0.487500000000000,"2",2014.146359999999959,2909.883215554686103,Invaded,Invaded_Urban
30/06/2022,Jordi,Urban,Sant_Llorenc,,Church_Park,Snake,10:41,,Point Count,39.031357640000003,1.477033667000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,Sunny,,,,"1762","4138","4138","0.000000000000000","0.000000000000000",0.487500000000000,"2",2014.146359999999959,2909.883215554686103,Invaded,Invaded_Urban
21/07/2022,Jordi,Urban,Sant_Llorenc,,Park_2,Snake,11:37,,Point Count,39.030666040000000,1.475913872000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,Sunny,,,,"1762","4138","4138","0.000000000000000","0.000000000000000",0.237500000000000,"2",2014.904170000000022,2671.707399661140698,Invaded,Invaded_Urban
30/06/2022,Jordi,Urban,Sant_Llorenc,,Park_2,Snake,10:32,,Point Count,39.030666040000000,1.475913872000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,Sunny,,,,"1762","4138","4138","0.000000000000000","0.000000000000000",0.237500000000000,"2",2014.904170000000022,2671.707399661140698,Invaded,Invaded_Urban
30/06/2022,Jordi,Urban,Sant_Llorenc,,Wall,Snake,10:44,,Point Count,39.031025470000003,1.476716011000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,Sunny,,,,"1762","4138","4138","0.000000000000000","0.000000000000000",0.512500000000000,"2",2014.904170000000022,2671.707399661140698,Invaded,Invaded_Urban
21/07/2022,Jordi,Urban,Sant_Llorenc,,Wall,Snake,11:33,,Point Count,39.031025470000003,1.476716011000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,Sunny,,,,"1762","4138","4138","0.000000000000000","0.000000000000000",0.512500000000000,"2",2014.904170000000022,2671.707399661140698,Invaded,Invaded_Urban
21/06/2022,Jordi,PeriUrban,Santa_Eularia,,Mur_Ext_1,Snake,9:38,,,38.989730920000000,1.515017919000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",Condiciones meteorol�gicas desfavorables,Sunny_Clowdy,23.300.000.000.000.000,64.000.000.000.000.000,8.100.000.000.000.000,"40038","6880045","6680786","0.000000000000000","0.000000000000000",0.000000000000000,"2",2013.907960000000003,3104.823397158584157,Invaded,Invaded_PeriUrban
30/06/2022,Jordi,PeriUrban,Santa_Eularia,,Mur_Ext_1,Snake,11:36,,Point Count,38.989730920000000,1.515017919000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,Sunny,,,,"40038","6880045","6680786","0.000000000000000","0.000000000000000",0.000000000000000,"2",2013.907960000000003,3104.823397158584157,Invaded,Invaded_PeriUrban
30/06/2022,Jordi,PeriUrban,Santa_Eularia,,Mur_Ext_4,Snake,12:34,,Point Count,39.005627320000002,1.553414298000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,Sunny,,,,"40038","6880045","6680786","0.000000000000000","0.000000000000000",0.000000000000000,"2",2017.836549999999988,5656.614095832144812,Invaded,Invaded_PeriUrban
22/07/2022,Jordi,PeriUrban,Santa_Eularia,,Mur_Ext_4,Snake,11:33,,Point Count,39.005627320000002,1.553414298000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,Sunny,,,,"40038","6880045","6680786","0.000000000000000","0.000000000000000",0.000000000000000,"2",2017.836549999999988,5656.614095832144812,Invaded,Invaded_PeriUrban
20/06/2022,Jordi,Urban,Santa_Eularia,,Park,Snake,11:50,,,38.984235320000003,1.535245559000000,"0","0","0","0","1","1","0","0","0","0","1","1","0","0",,Sunny,,,,"40038","202689","202689",100.000.000.000.000.000,33.058.252.430.000.000,0.916666700000000,"4",2013.062259999999924,4929.630248016063888,Invaded,Invaded_Urban
21/06/2022,Jordi,Urban,Santa_Eularia,,Park,Snake,10:46,,,38.984235320000003,1.535245559000000,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",Condiciones meteorol�gicas desfavorables,Sunny_Clowdy,23.300.000.000.000.000,64.000.000.000.000.000,8.100.000.000.000.000,"40038","202689","202689",100.000.000.000.000.000,33.058.252.430.000.000,0.916666700000000,"2",2013.062259999999924,4929.630248016063888,Invaded,Invaded_Urban
29/06/2022,Balma,Urban,Santa_Eularia,,Park,Snake,12:17,,Point Count,38.984235320000003,1.535245559000000,"0","0","0","0","0","0","0","2","0","0","0","0","0","2",,Sunny,,,,"40038","202689","202689",100.000.000.000.000.000,33.058.252.430.000.000,0.916666700000000,"4",2013.062259999999924,4929.630248016063888,Invaded,Invaded_Urban
