"Project";"Inv_state";"Classifica";"Latitude";"Longitude";"Place";"Site_ID";"Urbanization_index";"3P 250 200";"Distance";"max_number_lizards"
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,88370526;1,263417557;"Es_Cubells";"Mur_Ext_4";0,0578512396694215;2023,88782;23783,3845707108;5
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,88458165;1,269814394;"Es_Cubells";"Mur_Ext_2";0,304347826086957;2023,9823;23229,7755036324;9
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,88478647;1,2810761;"Es_Cubells";"Mur_Ext_3";0;2023,99207;22414,6214653573;3
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,88629127;1,267672331;"Es_Cubells";"Mur_Ext_1";0,0245901639344262;2023,97156;23435,8022816175;1
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,88719684;1,368694921;"Sant_Jordi";"Mur_Ext_4";0;2023,48364;16944,7477302697;3
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,89315323;1,373345459;"Sant_Jordi";"Mur_Ext_3";0;2022,43701;16046,8939370616;2
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,90615841;1,378317207;"Sant_Jordi";"Mur_Ext_2";0;2022,30164;14576,9481814902;1
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,91233947;1,375603893;"Sant_Jordi";"Mur_Ext_1";0,0964912280701754;2022,41882;14374,6255918888;1
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,91444817;1,294165866;"Sant_Josep";"Mur_Ext_2";0,161016949152542;2023,90308;19579,2189717944;1
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,92583125;1,300818544;"Sant_Josep";"Mur_Ext_4";0,0701754385964912;2023,32202;18530,5001013211;5
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,92635877;1,287153996;"Sant_Josep";"Mur_Ext_1";0,210084033613445;2023,45105;19642,4443397044;0
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,92720805;1,29616474;"Sant_Josep";"Mur_Ext_3";0;2023,23193;18751,4965057039;2
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,9378676;1,289799464;"Sant_Agusti";"Mur_Ext_3";0,0344827586206897;2023,86316;18890,4576262263;1
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,94108204;1,300495027;"Sant_Agusti";"Mur_Ext_2";0;2023,94348;17774,2199647059;4
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,94203675;1,288053071;"Sant_Agusti";"Mur_Ext_4";0;2023,19812;18698,3927348978;1
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,94413111;1,298797915;"Sant_Agusti";"Mur_Ext_1";0;2023,94226;17677,689157313;1
"PeriUrban";"NonInvaded";"NonInvaded_PeriUrban";38,94937806;1,28750178;"Sant_Antoni";"Mur_Ext_2";0;2023,51501;18431,995069551;0
